Date,Open,date,News Sentiment,Sentiment_1_days_before,Sentiment_2_days_before,Sentiment_3_days_before,Sentiment_4_days_before,Sentiment_5_days_before,Sentiment_6_days_before,Sentiment_7_days_before,Sentiment_8_days_before,Sentiment_9_days_before,Sentiment_10_days_before,Sentiment_11_days_before,Sentiment_12_days_before,Sentiment_13_days_before,Sentiment_14_days_before,Sentiment_15_days_before,Sentiment_16_days_before,Sentiment_17_days_before,Sentiment_18_days_before,Sentiment_19_days_before,Sentiment_20_days_before
2018-08-29,1206.6,2018-08-29,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02
2018-08-30,1212.6,2018-08-30,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01
2018-08-31,1206.3,2018-08-31,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0
2018-09-03,1207.0,2018-09-03,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02
2018-09-05,1197.2,2018-09-05,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03
2018-09-06,1202.5,2018-09-06,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03
2018-09-07,1205.6,2018-09-07,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04
2018-09-10,1200.7,2018-09-10,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02
2018-09-11,1200.4,2018-09-11,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03
2018-09-12,1203.5,2018-09-12,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05
2018-09-13,1212.4,2018-09-13,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09
2018-09-14,1206.6,2018-09-14,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09
2018-09-17,1199.8,2018-09-17,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09
2018-09-18,1206.4,2018-09-18,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07
2018-09-19,1202.8,2018-09-19,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05,-0.06
2018-09-20,1208.8,2018-09-20,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05,-0.05
2018-09-21,1212.1,2018-09-21,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04,-0.05
2018-09-24,1204.0,2018-09-24,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05,-0.04
2018-09-25,1203.1,2018-09-25,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02,-0.05
2018-09-26,1205.5,2018-09-26,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0,-0.02
2018-09-27,1198.9,2018-09-27,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.0
2018-09-28,1186.8,2018-09-28,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01,0.01
2018-10-01,1196.1,2018-10-01,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02,0.01
2018-10-02,1192.7,2018-10-02,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02,0.02
2018-10-03,1207.0,2018-10-03,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03,0.02
2018-10-04,1201.4,2018-10-04,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04,0.03
2018-10-05,1203.7,2018-10-05,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02,0.04
2018-10-08,1206.7,2018-10-08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02,0.02
2018-10-09,1192.2,2018-10-09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01,0.02
2018-10-10,1192.7,2018-10-10,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0,0.01
2018-10-11,1197.9,2018-10-11,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.0
2018-10-12,1227.7,2018-10-12,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01
2018-10-15,1221.2,2018-10-15,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02,-0.02
2018-10-16,1230.5,2018-10-16,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03,-0.02
2018-10-17,1228.0,2018-10-17,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03,-0.03
2018-10-18,1225.5,2018-10-18,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.03
2018-10-19,1228.6,2018-10-19,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04
2018-10-22,1230.5,2018-10-22,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02,-0.03
2018-10-23,1225.1,2018-10-23,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02,-0.02
2018-10-24,1233.8,2018-10-24,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01,-0.02
2018-10-25,1236.6,2018-10-25,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01,-0.01
2018-10-26,1234.7,2018-10-26,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05,-0.01
2018-10-29,1236.4,2018-10-29,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07,0.05
2018-10-30,1231.9,2018-10-30,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09,0.07
2018-10-31,1224.7,2018-10-31,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09,0.09
2018-11-01,1216.6,2018-11-01,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09,0.09
2018-11-02,1235.3,2018-11-02,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1,0.09
2018-11-05,1234.5,2018-11-05,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08,0.1
2018-11-06,1233.4,2018-11-06,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09,0.08
2018-11-07,1228.9,2018-11-07,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08,0.09
2018-11-08,1227.7,2018-11-08,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07,0.08
2018-11-09,1224.3,2018-11-09,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04,0.07
2018-11-12,1210.3,2018-11-12,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04,0.04
2018-11-13,1201.1,2018-11-13,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03,0.04
2018-11-14,1202.8,2018-11-14,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02,0.03
2018-11-15,1211.8,2018-11-15,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.02
2018-11-16,1214.4,2018-11-16,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0,-0.01
2018-11-19,1222.6,2018-11-19,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01,0.0
2018-11-20,1224.6,2018-11-20,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0,-0.01
2018-11-21,1222.4,2018-11-21,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01,0.0
2018-11-22,1227.8,2018-11-22,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01,-0.01
2018-11-26,1223.9,2018-11-26,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02,-0.01
2018-11-27,1222.6,2018-11-27,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.02
2018-11-28,1214.3,2018-11-28,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02,0.01
2018-11-29,1227.1,2018-11-29,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.02
2018-11-30,1229.9,2018-11-30,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04
2018-12-03,1228.6,2018-12-03,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.04
2018-12-04,1240.4,2018-12-04,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04,0.04
2018-12-05,1241.5,2018-12-05,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03,0.04
2018-12-06,1245.7,2018-12-06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.03
2018-12-07,1244.3,2018-12-07,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03,0.02
2018-12-10,1254.9,2018-12-10,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03,0.03
2018-12-11,1251.1,2018-12-11,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05,0.03
2018-12-12,1250.6,2018-12-12,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06,0.05
2018-12-13,1250.0,2018-12-13,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.06
2018-12-14,1246.9,2018-12-14,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06
2018-12-17,1241.5,2018-12-17,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04,0.06
2018-12-18,1251.1,2018-12-18,-0.02,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06,0.04
2018-12-19,1253.0,2018-12-19,-0.02,-0.02,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.06
2018-12-20,1248.5,2018-12-20,-0.03,-0.02,-0.02,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04,0.04
2018-12-21,1264.6,2018-12-21,-0.05,-0.03,-0.02,-0.02,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.04
2018-12-24,1264.2,2018-12-24,-0.04,-0.05,-0.03,-0.02,-0.02,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08
2018-12-26,1273.5,2018-12-26,-0.08,-0.04,-0.05,-0.03,-0.02,-0.02,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08,0.08
2018-12-27,1273.2,2018-12-27,-0.07,-0.08,-0.04,-0.05,-0.03,-0.02,-0.02,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07,0.08
2018-12-28,1280.1,2018-12-28,-0.08,-0.07,-0.08,-0.04,-0.05,-0.03,-0.02,-0.02,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.07
2018-12-31,1280.9,2018-12-31,-0.06,-0.08,-0.07,-0.08,-0.04,-0.05,-0.03,-0.02,-0.02,0.0,0.0,0.0,0.02,0.03,0.05,0.06,0.07,0.09,0.08,0.08,0.07
